Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
suboptimal,44,Filler,find,doll,doll2.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel1.jpg,juice,juice1.jpg,tree,tree3.jpg,AAE
optimal,48,Filler,find,footprint,footprint4.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll4.jpg,cookies,cookies3.jpg,trophy,trophy4.jpg,GAE
intermediate,10,Predictive,throw,football,football3.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle3.jpg,costume,costume4.jpg,AAE
suboptimal,8,Predictive,read,book,book3.jpg,read_book,read_book_AAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa4.jpg,ring,ring3.jpg,horse,horse1.jpg,AAE
intermediate,25,NeutralFiller,buy,kite,kite4.jpg,buy_kite,buy_kite_AAE.mp3,,,,,peanut,peanut1.jpg,bush,bush1.jpg,shoes,shoes1.jpg,AAE
optimal,1,Predictive,toast,bread,bread4.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 4.jpg,shirt,shirt1.jpg,couch,couch4.jpg,GAE
intermediate,7,Predictive,fly,kite,kite1.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut3.jpg,bush,bush4.jpg,shoes,shoes4.jpg,AAE
optimal,4,Predictive,drink ,milk,milk4.jpg,drink _milk,drink _milk_GAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor2.jpg,ball,ball1.jpg,dress,dress1.jpg,GAE
intermediate,16,Predictive,kick,ball,ball4.jpg,kick_ball,kick_ball_AAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart2.jpg,cat,cat1.jpg,mail,mail3.jpg,AAE
intermediate,50,Filler,buy,truck,truck3.jpg,buy_truck,buy_truck_AAE.mp3,,,,,can,can4.jpg,milk,milk3.jpg,dog,dog4.jpg,AAE
suboptimal,25,NeutralFiller,buy,kite,kite2.jpg,buy_kite,buy_kite_AAE.mp3,,,,,peanut,peanut2.jpg,bush,bush3.jpg,shoes,shoes2.jpg,AAE
intermediate,1,Predictive,toast,bread,bread1.jpg,toast_bread,toast_bread_AAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt2.jpg,couch,couch2.jpg,AAE
optimal,3,Predictive,pour ,juice,juice3.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck2.jpg,book,book4.jpg,bell,bell1.jpg,GAE
suboptimal,51,Filler,get,can,can1.jpg,get_can,get_can_AAE.mp3,,,,,costume,costume2.jpg,kite,kite3.jpg,bike,bike3.jpg,AAE
suboptimal,7,Predictive,fly,kite,kite4.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut4.jpg,bush,bush2.jpg,shoes,shoes3.jpg,AAE
optimal,17,Predictive,pet,cat,cat4.jpg,pet_cat,pet_cat_GAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box3.jpg,plant,plant2.jpg,ball,ball2.jpg,GAE
suboptimal,46,Filler,choose,horse,horse2.jpg,choose_horse,choose_horse_AAE.mp3,,,,,santa,santa1.jpg,ring,ring2.jpg,book,book1.jpg,AAE
optimal,50,Filler,buy,truck,truck1.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can2.jpg,milk,milk1.jpg,dog,dog2.jpg,GAE
intermediate,0,Predictive,blow,horn,horn4.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush3.jpg,chair,chair3.jpg,bread,bread2.jpg,AAE
intermediate,4,Predictive,drink ,milk,milk2.jpg,drink _milk,drink _milk_AAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor4.jpg,ball,ball3.jpg,dress,dress2.jpg,AAE
optimal,51,Filler,get,can,can3.jpg,get_can,get_can_GAE.mp3,,,,,costume,costume3.jpg,kite,kite2.jpg,bike,bike4.jpg,GAE
intermediate,36,Filler,choose,chair,chair4.jpg,choose_chair,choose_chair_AAE.mp3,,,,,brush,brush1.jpg,horn,horn2.jpg,bread,bread3.jpg,AAE
suboptimal,16,Predictive,kick,ball,ball1.jpg,kick_ball,kick_ball_AAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart4.jpg,cat,cat3.jpg,mail,mail1.jpg,AAE
suboptimal,5,Predictive,win,trophy,trophy1.jpg,win_trophy,win_trophy_AAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail2.jpg,santa,santa3.jpg,whisle,whisle2.jpg,AAE
optimal,11,Predictive,draw,picture,picture4.jpg,draw_picture,draw_picture_GAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint3.jpg,cookies,cookies1.jpg,mittens,mittens1.jpg,GAE
intermediate,28,NeutralFiller,hold,football,football1.jpg,hold_football,hold_football_AAE.mp3,,,,,pickle,pickle4.jpg,whistle,whistle4.jpg,costume,costume1.jpg,AAE
suboptimal,52,Filler,find,mail,mail4.jpg,find_mail,find_mail_AAE.mp3,,,,,cart,cart1.jpg,cat,cat2.jpg,ball,ball2.jpg,AAE
intermediate,11,Predictive,draw,picture,picture1.jpg,draw_picture,draw_picture_AAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint1.jpg,cookies,cookies4.jpg,mittens,mittens2.jpg,AAE
suboptimal,9,Predictive,eat,sandwich,sandwich3.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush1.jpg,jewel,jewel4.jpg,scissors,scissors1.jpg,AAE
intermediate,17,Predictive,pet,cat,cat1.jpg,pet_cat,pet_cat_AAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box2.jpg,plant,plant3.jpg,ball,ball4.jpg,AAE
optimal,33,NeutralFiller,find ,bike,bike1.jpg,find _bike,find _bike_GAE.mp3,,,,,costume,costume4.jpg,can,can4.jpg,kite,kite1.jpg,GAE
optimal,10,Predictive,throw,football,football2.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle3.jpg,whistle,whistle1.jpg,costume,costume3.jpg,GAE
intermediate,39,Filler,find,dress,dress4.jpg,find_dress,find_dress_AAE.mp3,,,,,tractor,tractor1.jpg,milk,milk1.jpg,ball,ball3.jpg,AAE
optimal,40,Filler,buy,crayon,crayon1.jpg,buy_crayon,buy_crayon_GAE.mp3,,,,,couch,couch3.jpg,piano,piano3.jpg,tractor,tractor3.jpg,GAE
suboptimal,23,NeutralFiller,buy,trophy,trophy3.jpg,buy_trophy,buy_trophy_AAE.mp3,,,,,mail,mail3.jpg,santa,santa2.jpg,whistle,whistle2.jpg,AAE
optimal,15,Predictive,ride,bike,bike2.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume1.jpg,can,can3.jpg,kite,kite3.jpg,GAE
optimal,18,NeutralFiller,choose,horn,horn1.jpg,choose_horn,choose_horn_GAE.mp3,,,,,brush,brush4.jpg,chair,chair2.jpg,bread,bread1.jpg,GAE
suboptimal,12,Predictive,bake,cookies,cookies2.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll1.jpg,footprint,footprint2.jpg,trophy,trophy2.jpg,AAE
optimal,47,Filler,buy,whistle,whistle1.jpg,buy_whistle,buy_whistle_GAE.mp3,,,,,pickle,pickle2.jpg,footprint,footprint4.jpg,costume,costume2.jpg,GAE
suboptimal,14,Predictive,walk,dog,dog1.jpg,walk_dog,walk_dog_AAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can2.jpg,milk,milk3.jpg,truck,truck4.jpg,AAE
suboptimal,31,NeutralFiller,buy,car,car3.jpg,buy_car,buy_car_AAE.mp3,,,,,bag,bag2.jpg,grapes,grapes3.jpg,dress,dress3.jpg,AAE
intermediate,47,Filler,buy,whistle,whistle2.jpg,buy_whistle,buy_whistle_AAE.mp3,,,,,pickle,pickle4.jpg,footprint,footprint1.jpg,costume,costume1.jpg,AAE
intermediate,41,Filler,choose,shoes,shoes2.jpg,choose_shoes,choose_shoes_AAE.mp3,,,,,peanut,peanut2.jpg,kite,kite4.jpg,bush,bush2.jpg,AAE
optimal,39,Filler,find,dress,dress2.jpg,find_dress,find_dress_GAE.mp3,,,,,tractor,tractor1.jpg,milk,milk2.jpg,ball,ball1.jpg,GAE
optimal,0,Predictive,blow,horn,horn3.jpg,blow_horn,blow_horn_GAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush2.jpg,chair,chair1.jpg,bread,bread4.jpg,GAE
suboptimal,49,Filler,choose,grapes,grapes4.jpg,choose_grapes,choose_grapes_AAE.mp3,,,,,bag,bag4.jpg,car,car2.jpg,dress,dress4.jpg,AAE
intermediate,51,Filler,get,can,can1.jpg,get_can,get_can_AAE.mp3,,,,,costume,costume3.jpg,kite,kite2.jpg,bike,bike1.jpg,AAE
suboptimal,13,Predictive,drive,car,car4.jpg,drive_car,drive_car_AAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag3.jpg,grapes,grapes2.jpg,dress,dress3.jpg,AAE
optimal,19,NeutralFiller,buy,bread,bread2.jpg,buy_bread,buy_bread_GAE.mp3,,,,,horse ,horse 3.jpg,shirt,shirt4.jpg,couch,couch1.jpg,GAE
intermediate,14,Predictive,walk,dog,dog3.jpg,walk_dog,walk_dog_AAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can4.jpg,milk,milk4.jpg,truck,truck2.jpg,AAE
optimal,6,Predictive,play,piano,piano1.jpg,play_piano,play_piano_GAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch2.jpg,tractor,tractor4.jpg,crayon,crayon3.jpg,GAE
suboptimal,42,Filler,choose,scissors,scissors3.jpg,choose_scissors,choose_scissors_AAE.mp3,,,,,bush,bush3.jpg,sandwich,sandwich4.jpg,jewel,jewel3.jpg,AAE
suboptimal,2,Predictive,climb,tree,tree4.jpg,climb_tree,climb_tree_AAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel2.jpg,doll,doll3.jpg,juice,juice2.jpg,AAE
intermediate,22,NeutralFiller,find,milk,milk2.jpg,find_milk,find_milk_AAE.mp3,,,,,tractor,tractor3.jpg,ball,ball3.jpg,dress,dress1.jpg,AAE
